"","YEAR","CVEGEO","num_tomas","tomas","num_cartels","menciones_huachicol","carteles_huachicol","pobtot","pobhlindigena","pobanalf","gradoescolar","HomX100","ESTADO","mun_huachicolero","YearFirst","diffYears","lead1","lead2","lead3","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","ENT","is_neighbor","treated","post","consecutive_cartel","log_hom"
"1",2007,2003,0,0,2,0,0,95052,0.0117780083478708,0.0313945056880131,8.518,26.3013929217691,2,0,2008,-1,"True","False","False","False","False","False","False","False","False","False","False","False","False",2,NA,1,0,0,3.30693772366472
"2",2008,2003,5,1,1,0,0,97061,0.0108025392269878,0.0290789315954528,8.642,51.5139963528091,2,1,2008,0,"False","False","False","True","False","False","False","False","False","False","False","False","False",2,NA,1,1,0,3.96107973126322
"3",2009,2003,4,1,4,0,0,99070,0.0098270701061047,0.0267633575028926,8.766,77.7228222468961,2,1,2008,1,"False","False","False","False","True","False","False","False","False","False","False","False","False",2,NA,1,1,0,4.36593310381496
"4",2010,2003,3,1,3,0,0,101079,0.0088516009852216,0.0244477834103323,8.89,31.6584058014029,2,1,2008,2,"False","False","False","False","False","True","False","False","False","False","False","False","False",2,NA,1,1,0,3.48610227439148
"5",2011,2003,13,1,4,0,0,101344.4,0.0091535761223082,0.0241761383013177,9.67720958171446,38.4826393959607,2,1,2008,3,"False","False","False","False","False","False","True","False","False","False","False","False","False",2,NA,1,1,0,3.67586106633168
"6",2012,2003,34,1,3,0,0,101609.8,0.0094555512593948,0.0239044931923031,10.4644191634289,17.71482671947,2,1,2008,4,"False","False","False","False","False","False","False","True","False","False","False","False","False",2,NA,1,1,0,2.92931608240196
"7",2013,2003,32,1,2,0,0,101875.2,0.0097575263964814,0.0236328480832885,11.2516287451434,25.5214222892323,2,1,2008,5,"False","False","False","False","False","False","False","False","True","False","False","False","False",2,NA,1,1,0,3.27795279469528
"8",2014,2003,82,1,2,0,0,102140.6,0.010059501533568,0.0233612029742739,12.0388383268578,18.6018096623674,2,1,2008,6,"False","False","False","False","False","False","False","False","False","True","False","False","False",2,NA,1,1,0,2.97562189168697
"9",2015,2003,98,1,3,0,0,102406,0.0103614766706545,0.0230895578652593,12.8260479085723,14.6475792434037,2,1,2008,7,"False","False","False","False","False","False","False","False","False","False","True","False","False",2,NA,1,1,0,2.75031622408916
"10",2016,2003,73,1,3,0,0,103612.8,0.009652544699887,0.0223143987302715,12.2188383268578,53.0822446647518,2,1,2008,8,"False","False","False","False","False","False","False","False","False","False","False","True","False",2,NA,1,1,0,3.99050593724819
"11",2017,2003,107,1,2,0,0,104819.6,0.0089436127291194,0.0215392395952837,11.6116287451434,65.8273834282901,2,1,2008,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,0,4.20211292810484
"12",2018,2003,115,1,1,0,0,106026.4,0.0082346807583519,0.0207640804602959,11.0044191634289,84.8845193272619,2,1,2008,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,0,4.45300359537148
"13",2019,2003,131,1,3,0,0,107233.2,0.0075257487875843,0.0199889213253082,10.3972095817145,83.9292308725283,2,1,2008,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,0,4.44181833173453
"14",2007,2004,3,1,12,5,2,1470285.4,0.0090916072646378,0.0234398650551745,9,14.0788992395626,2,1,2007,0,"False","False","False","True","False","False","False","False","False","False","False","False","False",2,NA,1,1,1,2.7132963651916
"15",2008,2004,1,1,14,11,2,1500084.6,0.008916474475375,0.0225835481279091,9.08,52.130393179158,2,1,2007,1,"False","False","False","False","True","False","False","False","False","False","False","False","False",2,NA,1,1,1,3.97274914075841
"16",2009,2004,7,1,18,9,2,1529883.8,0.0087413416861123,0.0217272312006436,9.16,71.5086988959554,2,1,2007,2,"False","False","False","False","False","True","False","False","False","False","False","False","False",2,NA,1,1,1,4.28370653943483
"17",2010,2004,10,1,23,29,4,1559683,0.0085662088968495,0.0208709142733782,9.24,80.1444908997534,2,1,2007,3,"False","False","False","False","False","False","True","False","False","False","False","False","False",2,NA,1,1,1,4.39623140379109
"18",2011,2004,14,1,28,5,2,1576060.4,0.0086962353579745,0.020058140492537,10.0544957841212,31.9784698606729,2,1,2007,4,"False","False","False","False","False","False","False","True","False","False","False","False","False",2,NA,1,1,1,3.49585492007795
"19",2012,2004,25,1,28,60,5,1592437.8,0.0088262618190994,0.0192453667116958,10.8689915682425,20.471757201443,2,1,2007,5,"False","False","False","False","False","False","False","False","True","False","False","False","False",2,NA,1,1,1,3.06673845304291
"20",2013,2004,19,1,30,5,2,1608815.2,0.0089562882802244,0.0184325929308546,11.6834873523637,32.2597648256928,2,1,2007,6,"False","False","False","False","False","False","False","False","False","True","False","False","False",2,NA,1,1,1,3.50434840295484
"21",2014,2004,5,1,30,27,5,1625192.6,0.0090863147413494,0.0176198191500135,12.497983136485,28.4273999278609,2,1,2007,7,"False","False","False","False","False","False","False","False","False","False","True","False","False",2,NA,1,1,1,3.38192621066532
"22",2015,2004,14,1,37,15,3,1641570,0.0092163412024743,0.0168070453691723,13.3124789206062,39.1698191365583,2,1,2007,8,"False","False","False","False","False","False","False","False","False","False","False","True","False",2,NA,1,1,1,3.69311594591043
"23",2016,2004,1,1,35,41,4,1697760.6,0.0087499359774252,0.0163719994620638,12.685983136485,52.7754030809762,2,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,1,3.98481617082028
"24",2017,2004,8,1,39,88,6,1753951.2,0.0082835307523761,0.0159369535549553,12.0594873523637,96.0117932585582,2,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,1,4.57483255109827
"25",2018,2004,8,1,39,25,3,1810141.8,0.0078171255273269,0.0155019076478468,11.4329915682425,129.934571976626,2,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,1,4.87469774787407
"26",2019,2004,15,1,41,39,4,1866332.4,0.0073507203022778,0.0150668617407383,10.8064957841212,115.949334641568,2,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",2,NA,1,1,1,4.76174080375849
"27",2007,5004,0,0,0,0,0,20790.8,0.0015628170772953,0.073474731659578,6.78,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"28",2008,5004,0,0,1,0,0,21375.2,0.0014043759918828,0.0700823547119664,6.94,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"29",2009,5004,0,0,1,0,0,21959.6,0.0012459349064703,0.0666899777643548,7.1,18.2152680376692,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.95570517331682
"30",2010,5004,0,0,1,0,0,22544,0.0010874938210578,0.0632976008167432,7.26,22.1788502484031,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,3.14324023566345
"31",2011,5004,0,0,1,0,0,22689.4,0.0012118104765196,0.0612611901512772,8.03630088117916,8.81468879741201,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.2838801203905
"32",2012,5004,0,0,2,0,0,22834.8,0.0013361271319814,0.0592247794858112,8.81260176235832,4.37928074693012,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,1.68255467507468
"33",2013,5004,0,0,0,0,0,22980.2,0.0014604437874432,0.0571883688203452,9.58890264353748,30.4610055613093,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,3.44874886028872
"34",2014,5004,0,0,0,0,0,23125.6,0.001584760442905,0.0551519581548792,10.3652035247166,8.64842425710036,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.26679461259807
"35",2015,5004,0,0,0,0,0,23271,0.0017090770983668,0.0531155474894131,11.1415044058958,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"36",2016,5004,0,0,1,0,0,24532.4,0.0018243445905364,0.0498526315339144,10.8772035247166,4.07624203094683,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,1.62457123014702
"37",2017,5004,0,0,0,0,0,25793.8,0.001939612082706,0.0465897155784157,10.6129026435375,11.6307019516318,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.53613051293611
"38",2018,5004,0,0,1,0,0,27055.2,0.0020548795748755,0.043326799622917,10.3486017623583,3.6961471362252,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,1.54674241428052
"39",2019,5004,0,0,3,0,0,28316.6,0.0021701470670451,0.0400638836674183,10.0843008811792,7.06299485107675,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.08728505711614
"40",2007,5005,0,0,2,0,0,1726.4,0.0012797521811207,0.101376692074212,6.44,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"41",2008,5005,0,0,0,0,0,1753.6,0.0012621660757573,0.0963688355796726,6.55,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"42",2009,5005,0,0,0,0,0,1780.8,0.001244579970394,0.0913609790851331,6.66,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"43",2010,5005,0,0,0,0,0,1808,0.0012269938650306,0.0863531225905936,6.77,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"44",2011,5005,0,0,0,0,0,1790.4,0.0013640042698448,0.0822340618254821,7.40291937324316,55.8534405719392,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,4.04047673854011
"45",2012,5005,0,0,1,0,0,1772.8,0.0015010146746589,0.0781150010603706,8.03583874648632,56.4079422382671,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,4.05018266027409
"46",2013,5005,0,0,0,0,0,1755.2,0.001638025079473,0.0739959402952591,8.66875811972948,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"47",2014,5005,0,0,0,0,0,1737.6,0.0017750354842872,0.0698768795301476,9.30167749297264,57.5506445672192,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,4.06989209881693
"48",2015,5005,0,0,1,0,0,1720,0.0019120458891013,0.065757818765036,9.9345968662158,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"49",2016,5005,0,0,3,0,0,1704.6,0.001529636711281,0.0674460526511519,9.49567749297264,58.6647893934061,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,4.08874205399734
"50",2017,5005,0,0,1,0,0,1689.2,0.0011472275334608,0.0691342865372678,9.05675811972948,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"51",2018,5005,0,0,3,0,0,1673.8,0.0007648183556405,0.0708225204233837,8.61783874648632,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"52",2019,5005,0,0,4,0,0,1658.4,0.0003824091778202,0.0725107543094996,8.17891937324316,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"53",2007,5007,0,0,0,0,0,12537.2,0.0013818671381598,0.0566844185083707,7.686,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"54",2008,5007,0,0,0,0,0,12695.8,0.0014323615489597,0.0556725402518317,7.784,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"55",2009,5007,0,0,0,0,0,12854.4,0.0014828559597597,0.0546606619952927,7.882,7.77943739108788,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.17241232713012
"56",2010,5007,0,0,1,0,0,13013,0.0015333503705596,0.0536487837387537,7.98,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"57",2011,5007,0,0,0,0,0,13119.6,0.0014872453970095,0.0511304176637053,8.74845638740482,7.62218360315863,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.15433837082782
"58",2012,5007,0,0,0,0,0,13226.2,0.0014411404234594,0.048612051588657,9.51691277480964,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"59",2013,5007,0,0,1,0,0,13332.8,0.0013950354499093,0.0460936855136086,10.2853691622145,7.50030001200048,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.14010145840287
"60",2014,5007,0,0,1,0,0,13439.4,0.0013489304763593,0.0435753194385603,11.0538255496193,14.8816167388425,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.76516226038752
"61",2015,5007,0,0,1,0,0,13546,0.0013028255028092,0.0410569533635119,11.8222819370241,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"62",2016,5007,0,0,0,0,0,13379.8,0.0012521606996061,0.040126740072684,11.2398255496193,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"63",2017,5007,0,0,0,0,0,13213.6,0.001201495896403,0.0391965267818562,10.6573691622145,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"64",2018,5007,0,0,0,0,0,13047.4,0.0011508310931999,0.0382663134910283,10.0749127748096,7.66436224841731,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,2.1592183195838
"65",2019,5007,0,0,0,0,0,12881.2,0.0011001662899968,0.0373361002002004,9.49245638740482,0,5,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",5,1,NA,0,0,0
"66",2007,5027,2,1,2,0,0,64209.2,0.0027268967491666,0.0378712397038706,8.86,0,5,1,2007,0,"False","False","False","True","False","False","False","False","False","False","False","False","False",5,NA,1,1,0,0
"67",2008,5027,2,1,0,0,0,67959.8,0.0027912187095433,0.0358902268888673,9,0,5,1,2007,1,"False","False","False","False","True","False","False","False","False","False","False","False","False",5,NA,1,1,0,0
"68",2009,5027,6,1,1,0,0,71710.4,0.0028555406699201,0.033909214073864,9.14,8.36698721524353,5,1,2007,2,"False","False","False","False","False","True","False","False","False","False","False","False","False",5,NA,1,1,0,2.23719150935402
"69",2010,5027,1,1,3,0,0,75461,0.0029198626302969,0.0319282012588606,9.28,6.62593922688541,5,1,2007,3,"False","False","False","False","False","False","True","False","False","False","False","False","False",5,NA,1,1,0,2.03155549220422
"70",2011,5027,3,1,3,0,0,78934.4,0.0033971910382784,0.0295484067112651,10.2806886676826,19.0031215794381,5,1,2007,4,"False","False","False","False","False","False","False","True","False","False","False","False","False",5,NA,1,1,0,2.99588834034684
"71",2012,5027,19,1,4,0,0,82407.8,0.0038745194462599,0.0271686121636696,11.2813773353653,9.70781892005368,5,1,2007,5,"False","False","False","False","False","False","False","False","True","False","False","False","False",5,NA,1,1,0,2.37097421479918
"72",2013,5027,23,1,2,0,0,85881.2,0.0043518478542413,0.024788817616074,12.2820660030479,11.6439919330424,5,1,2007,6,"False","False","False","False","False","False","False","False","False","True","False","False","False",5,NA,1,1,0,2.5371821563464
"73",2014,5027,16,1,2,0,0,89354.6,0.0048291762622228,0.0224090230684785,13.2827546707306,7.8339559463083,5,1,2007,7,"False","False","False","False","False","False","False","False","False","False","True","False","False",5,NA,1,1,0,2.17860292632788
"74",2015,5027,17,1,2,0,0,92828,0.0053065046702043,0.020029228520883,14.2834433384132,5.38630585599173,5,1,2007,8,"False","False","False","False","False","False","False","False","False","False","False","True","False",5,NA,1,1,0,1.85415598791419
"75",2016,5027,8,1,1,0,0,98711,0.0049898538229188,0.0193780807575219,13.5127546707306,7.09140825237309,5,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",5,NA,1,1,0,2.09080278914429
"76",2017,5027,4,1,0,0,0,104594,0.0046732029756333,0.0187269329941607,12.7420660030479,2.86823335946613,5,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",5,NA,1,1,0,1.35279790655357
"77",2018,5027,10,1,1,0,0,110477,0.0043565521283477,0.0180757852307996,11.9713773353653,4.52582890556405,5,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",5,NA,1,1,0,1.70943326430711
"78",2019,5027,21,1,1,0,0,116360,0.0040399012810622,0.0174246374674385,11.2006886676826,6.01581299415607,5,1,2007,9,"False","False","False","False","False","False","False","False","False","False","False","False","True",5,NA,1,1,0,1.94816660051797
"79",2007,7005,0,0,0,0,0,20292.2,0.237937365193841,0.28931745076073,4.292,4.92800189235273,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.77968720721653
"80",2008,7005,0,0,0,0,0,20619.8,0.278608375559396,0.281648828691796,4.468,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"81",2009,7005,0,0,0,0,0,20947.4,0.319279385924951,0.273980206622862,4.644,9.54772429991312,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.35591013048478
"82",2010,7005,0,0,0,0,0,21275,0.359950396290505,0.266311584553928,4.82,4.70035252643948,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.74052801967184
"83",2011,7005,0,0,0,0,0,20889.6,0.327303624944147,0.259461648446644,5.60578083115189,9.57414215686275,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.35841160172353
"84",2012,7005,0,0,0,0,0,20504.2,0.294656853597788,0.25261171233936,6.39156166230377,9.75409916017206,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.37528699911604
"85",2013,7005,0,0,0,0,0,20118.8,0.262010082251429,0.245761776232076,7.17734249345566,4.97047537626499,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.78682655174948
"86",2014,7005,0,0,0,0,0,19733.4,0.229363310905071,0.238911840124792,7.96312332460754,5.0675504474647,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.80295497295813
"87",2015,7005,0,0,0,0,0,19348,0.196716539558712,0.232061904017508,8.74890415575943,15.5054786024395,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.8036923623061
"88",2016,7005,0,0,0,0,0,20380.8,0.211819474421536,0.219811726733517,8.31512332460754,4.90657874077563,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.77606677052483
"89",2017,7005,0,0,0,0,0,21413.6,0.22692240928436,0.207561549449526,7.88134249345566,9.33985878133523,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.33600621147592
"90",2018,7005,0,0,0,0,0,22446.4,0.242025344147184,0.195311372165534,7.44756166230377,4.45505738113907,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,1.69654313822862
"91",2019,7005,0,0,0,0,0,23479.2,0.257128279010008,0.183061194881543,7.01378083115189,21.2954444785172,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,3.10438237412279
"92",2007,7045,0,0,0,0,0,5137.8,0.151368227731864,0.240787412119183,4.804,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"93",2008,7045,0,0,0,0,0,5251.2,0.151753902662993,0.233628389688651,4.946,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"94",2009,7045,0,0,0,0,0,5364.6,0.152139577594123,0.226469367258119,5.088,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"95",2010,7045,0,0,0,0,0,5478,0.152525252525253,0.219310344827586,5.23,18.254837531946,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,2.95776232952398
"96",2011,7045,0,0,0,0,0,5459.2,0.149379081295027,0.205969302045618,5.95348986170557,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"97",2012,7045,0,0,0,0,0,5440.4,0.146232910064801,0.19262825926365,6.67697972341114,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"98",2013,7045,0,0,0,0,0,5421.6,0.143086738834576,0.179287216481682,7.4004695851167,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"99",2014,7045,0,0,0,0,0,5402.8,0.13994056760435,0.165946173699715,8.12395944682227,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"100",2015,7045,0,0,0,0,0,5384,0.136794396374124,0.152605130917747,8.84744930852784,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"101",2016,7045,0,0,0,0,0,5564,0.137408296468927,0.148720049434658,8.47395944682227,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"102",2017,7045,0,0,0,0,0,5744,0.13802219656373,0.14483496795157,8.1004695851167,34.8189415041783,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,3.57847684578216
"103",2018,7045,0,0,0,0,0,5924,0.138636096658532,0.140949886468481,7.72697972341114,0,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,0
"104",2019,7045,0,0,0,0,0,6104,0.139249996753335,0.137064804985393,7.35348986170557,32.7653997378768,7,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",7,1,NA,0,0,3.51943660178027
"105",2007,8001,0,0,3,0,0,11619,0.0041087361304457,0.0487041958608962,6.654,17.2131852999398,8,0,2014,-3,"False","False","True","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,2.90214579881285
"106",2008,8001,0,0,3,0,0,11565,0.0037886130152073,0.0448216091650006,6.756,95.114569822741,8,0,2014,-3,"False","False","True","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,4.56554091554315
"107",2009,8001,0,0,5,0,0,11511,0.0034684898999688,0.0409390224691049,6.858,34.7493701676657,8,0,2014,-3,"False","False","True","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,3.57653265129715
"108",2010,8001,0,0,2,10,2,11457,0.0031483667847304,0.0370564357732093,6.96,122.196037357074,8,0,2014,-3,"False","False","True","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,4.81377688627267
"109",2011,8001,0,0,2,0,0,11679.2,0.0035291525662349,0.0360622609180327,7.75328496600126,51.3733817384752,8,0,2014,-3,"False","False","True","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,3.95839848017022
"110",2012,8001,0,0,3,7,2,11901.4,0.0039099383477395,0.0350680860628561,8.54656993200252,8.40237283008722,8,0,2014,-2,"False","True","False","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,2.24096208615387
"111",2013,8001,0,0,2,0,0,12123.6,0.004290724129244,0.0340739112076794,9.33985489800378,32.9935002804447,8,0,2014,-1,"True","False","False","False","False","False","False","False","False","False","False","False","False",8,NA,1,0,1,3.52616933811897
"112",2014,8001,1,1,1,10,2,12345.8,0.0046715099107486,0.0330797363525028,10.133139864005,24.2997618623337,8,1,2014,0,"False","False","False","True","False","False","False","False","False","False","False","False","False",8,NA,1,1,1,3.2307949831332
"113",2015,8001,1,1,1,0,0,12568,0.0050522956922531,0.0320855614973262,10.9264248300063,95.4805856142584,8,1,2014,1,"False","False","False","False","True","False","False","False","False","False","False","False","False",8,NA,1,1,1,4.56934180275998
"114",2016,8001,2,1,3,0,0,12981.4,0.0052125081496127,0.0318241522757125,10.297139864005,15.4066587579152,8,1,2014,2,"False","False","False","False","False","True","False","False","False","False","False","False","False",8,NA,1,1,1,2.79768727424969
"115",2017,8001,3,1,2,0,0,13394.8,0.0053727206069723,0.0315627430540988,9.66785489800378,14.931167318661,8,1,2014,3,"False","False","False","False","False","False","True","False","False","False","False","False","False",8,NA,1,1,1,2.76827739924485
"116",2018,8001,1,1,1,0,0,13808.2,0.0055329330643319,0.0313013338324851,9.03856993200252,28.9682942019959,8,1,2014,4,"False","False","False","False","False","False","False","True","False","False","False","False","False",8,NA,1,1,1,3.40013996285843
"117",2019,8001,18,1,3,0,0,14221.6,0.0056931455216915,0.0310399246108714,8.40928496600126,0,8,1,2014,5,"False","False","False","False","False","False","False","False","True","False","False","False","False",8,NA,1,1,1,0
"118",2007,8005,0,0,3,0,0,23025.2,0.019370882500906,0.0538410146851419,6.556,39.0876083595365,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,3.69106726809106
"119",2008,8005,0,0,4,0,0,23341.8,0.0204252308293799,0.0542702815142012,6.614,205.639667891936,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,5.33097654160441
"120",2009,8005,0,0,5,0,0,23658.4,0.0214795791578538,0.0546995483432606,6.672,84.5365705204071,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,4.44894400987917
"121",2010,8005,0,0,10,0,0,23975,0.0225339274863277,0.05512881517232,6.73,237.747653806048,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,5.47540715232218
"122",2011,8005,0,0,8,0,0,24173.2,0.0204170453188151,0.0510413912135361,7.54061679756354,161.33569407443,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,5.08966637686169
"123",2012,8005,0,0,8,0,0,24371.4,0.0183001631513025,0.0469539672547523,8.35123359512708,82.0634021845278,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,4.41960419792873
"124",2013,8005,0,0,4,0,0,24569.6,0.0161832809837899,0.0428665432959685,9.16185039269062,40.7007033081532,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,3.73051799456548
"125",2014,8005,0,0,5,0,0,24767.8,0.0140663988162773,0.0387791193371846,9.97246719025416,24.2250018168751,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,3.22783563826643
"126",2015,8005,0,0,4,0,0,24966,0.0119495166487647,0.0346916953784008,10.7830839878177,44.0599214932308,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,3.80799319273074
"127",2016,8005,0,0,4,0,0,25191.4,0.0137084276404812,0.0371902409138502,10.1784671902542,31.7568694078138,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,3.48911269299654
"128",2017,8005,0,0,4,0,0,25416.8,0.0154673386321978,0.0396887864492996,9.57385039269062,3.93440559000346,8,0,0,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",8,1,NA,0,0,1.59623221781004
